Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,6206547590.07403,5621147630.73068,7228795918.92525,7867263256.28817,7978515641.58304,8874480195.58321,9349921885.77888,10642671963.1135,11060395115.6809,13426272073.2398,15354612541.5059,15420077665.5323,17386490239.3536,18360263162.7578,18860496494.0404,19134221644.7325,19566715174.1633,20084646751.4954,20323499020.3639,21118473702.3471,20621957125.2077,16345202562.5485,15325233810.1388,15740683549.2312
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,..,..,12.6862687216715,6.78459655001657,8.68057078513405,26.4186641547445,-6.81116108898993,2.17853752389414,11.8041858089129,6.44121280934117,7.38577178397855,4.67399603536305,-0.66170916471352,4.38389195513893,4.97595150553892,0.626149149168983,2.30237251516819,..,..,..,..
Afghanistan,AFG,Real interest rate (%),FR.INR.RINR,..,..,..,..,..,..,10.0468971030039,-3.58511111025937,12.5579601438018,17.5429289286094,11.3640937418183,-1.24150600982001,7.17438724753763,9.78449593859924,14.3516893380043,12.2525481629518,17.5839381624543,12.1411782956513,..,..,..,..,..,..
Afghanistan,AFG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,47.3575747311828,47.500014516129,47.263,48.7627535833333,47.8453125,49.4945975,49.9253308333333,49.9620177703972,50.2496147435897,50.325,46.4524610013175,46.747007738581,50.9214,55.3775,57.2475,61.1434615416667,67.8660857692308,68.0269040822312,72.083247177304,77.7379491783367,76.8135364354897,..,..,..
Afghanistan,AFG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,2.495,..,..,..,1.692,..,7.915,..,..,11.184,..,..,11.71,5.679,..,..
Afghanistan,AFG,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..,..,..,..,..,..,..,..,-47951776.133526,-55860135.4655666,-192022479.468454,-51036283.6112608,-65684511.343893,-47774027.0095906,-42994416.2107173,-166983554.911685,-79585268.7492387,-40273161.0002353,-80631404.0721353,2916492.92940283,24258330.1122418,..,..,..
Afghanistan,AFG,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.7098945514103,51.4117163747271,72.8854696086536,67.2733432760503
Afghanistan,AFG,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,6057218861.96683,6559562958.94637,6857139117.39279,7236245479.6585,7635300387.08491,8057259479.00459,8532852033.68952,9043394715.19952,9721653065.53613,10047745438.9452,10420209148.0929,10685445792.0183,10836884503.1437,10945471986.7318,11139693788.8124,11386853113.0189,11764325094.2129,12211675169.6845,12702504600.374,12964502337.0284,12534895529.6924,13659219676.8332,14318507636.8055,14882173624.9218
Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.0500181363468309,3.10758827031434,7.77052583431552,0.48400261181847,2.28001916938101,2.36658195679796,2.37072831904282,2.93268248162323,3.32087090389264,2.26692209450831,3.62604695579816,3.42912324722163,2.03159268395301,1.93762080205229,1.6258650440261,1.89617402592365,1.2754316836741,1.98666133171199,2.02805963071136,1.41109078954246,1.62088661717011,2.04147163139549,6.72520271530048,4.75976421930107
Albania,ALB,Real interest rate (%),FR.INR.RINR,15.5754116055596,15.2617073910542,11.2464777871879,8.62387425855812,8.34605448112112,9.4555054819425,10.2087615799994,9.30474143806301,8.55052487389148,10.0007474139424,7.97103659621924,9.88846223555399,9.73611207346728,9.51039749125922,6.32455753333484,7.27249242163997,7.41372325944537,4.70106853289222,2.88052489157228,5.2229818174808,6.0772727041326,2.49145230404806,-3.05375879949315,0.269282388635442
Albania,ALB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,143.709416666667,143.484833333333,140.154515875,121.86325,102.780051196172,99.8702544808992,98.1033770912698,90.4278938310708,83.8946041005291,94.9781198203843,103.936666666667,100.895833333333,108.184166666667,105.669166666667,105.48,125.961666666667,124.1425,119.1,107.989166666667,109.850833333333,108.65,103.52,113.041666666667,100.645
Albania,ALB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,16.8,16.4,4.615,15,14.4,6.566,13.8,15.966,13.06,13.674,14.086,13.481,13.376,15.866,18.055,17.193,15.418,13.616,12.304,11.466,11.639,11.474,10.785,10.669
Albania,ALB,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-143000000,-207300000,-135000000,-178036400.666667,-327681210.171408,-258417488.710474,-314638316.803697,-647365283.806491,-881244175.083487,-950761387.622076,-1043511678.05772,-846616681.619178,-834803023.05009,-1225674342.47578,-1074294190.46155,-910256725.971613,-1037328978.03745,-1128922245.43328,-1208920405.82958,-1161056359.18126,-1019647592.46952,-1168644882.54546,-1249848499.5736,-1358205660.75963
Albania,ALB,Trade (% of GDP),NE.TRD.GNFS.ZS,63.454073132628,66.4910240323437,68.5250682234387,67.0205610427628,67.0471873068205,70.8723467754672,74.2670902393052,83.2020801053931,77.4517514962857,75.0949144008056,76.5433902447878,81.218568933066,76.5102006210933,75.8737138467897,75.4078455964825,71.801006339647,74.809862823171,78.1942495319136,75.6940706898154,75.3821602848745,59.5206994403142,75.5903160937554,84.6980639208685,82.4936845982876
Albania,ALB,Gini index,SI.POV.GINI,..,..,31.7,..,..,30.6,..,..,30,..,..,..,29,..,34.6,32.8,33.7,33.1,30.1,30.1,29.4,..,..,..
Algeria,DZA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,109811551032.207,113105897562.183,119213616030.541,126962501072.526,132675813620.79,139840307556.312,143895676475.446,148356442446.184,152065353507.339,153890137749.427,161276864361.4,166115170292.241,170101934379.255,174524584673.116,181680092644.714,187493855609.345,194806115978.109,197728207717.781,200496402625.83,202300870249.462,192185826736.989,199488888152.994,206670488126.502,215143978139.689
Algeria,DZA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.339163189071768,4.22598834854673,1.41830192345051,4.268953958395,3.96180030257187,1.38244656662118,2.31149918514424,3.67899574741699,4.85859062814939,5.73706036145628,3.91106195534028,4.5242115050527,8.89145091062317,3.25423910998847,2.91692692067458,4.78444700693889,6.39769480268757,5.59111590961664,4.26999020467084,1.95176821052892,2.41513094083414,7.22606307415477,9.26551551551553,9.32217375928322
Algeria,DZA,Real interest rate (%),FR.INR.RINR,-10.3343779978102,1.37540693567029,7.11282850261404,-0.750361450306094,-3.0925185378105,-3.88174750040839,-2.5105199773419,0.844558435348249,-6.18312466404686,16.5976144700404,-6.5395635723292,-7.62022648883789,-0.00226526177602089,7.04435828684442,6.4559997995197,13.6683505551797,7.0826356700273,2.91790628036071,1.72874977200737,7.05471454843042,13.3398767225762,-6.84242362997388,-12.1603164451211,7.08459692081617
Algeria,DZA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,75.2597916666666,77.2150208333334,79.6819,77.394975,72.06065,73.2763083333333,72.6466166666667,69.2924,64.5828,72.6474166666667,74.3859833333333,72.9378833333333,77.5359666666667,79.3684,80.5790166666667,100.691433333333,109.443066666667,110.973016666667,116.593791666667,119.353558333333,126.7768,135.064058333333,141.994975,135.842933333333
Algeria,DZA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,29.77,27.3,25.9,23.72,17.65,15.27,12.27,13.79,11.33,10.16,9.96,9.96,10.97,9.82,10.207,11.206,10.202,..,..,..,..,..,..,..
Algeria,DZA,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..,..,..,..,..,-1100999999.99995,-1762000000.00007,-1539745127.74472,-2320754663.57849,-2532507565.45895,-2081136054.38595,-2037319357.9126,-1541844615.21892,-1963635049.70214,-1520777119.23079,638915215.34559,-1591723072.05371,-1238809875.76889,-619904539.936102,-1350051614.14718,-1129312783.55399,-920974182.921155,-155427080.152456,-1132222100.82674
